iter	Passed	Remaining
267	3695	3199
268	3708	3184
269	3720	3169
270	3732	3153
271	3745	3139
272	3758	3124
273	3771	3111
274	3785	3096
275	3798	3083
276	3811	3068
277	3823	3053
278	3836	3038
279	3848	3023
280	3861	3009
281	3875	2995
282	3887	2981
283	3901	2967
284	3913	2952
285	3925	2937
286	3937	2922
287	3950	2907
288	3962	2893
289	3975	2878
290	3987	2863
291	4000	2849
292	4013	2835
293	4026	2821
294	4038	2806
295	4050	2791
296	4062	2776
297	4076	2763
298	4088	2748
299	4101	2734
300	4114	2719
301	4126	2705
302	4139	2691
303	4151	2676
304	4165	2662
305	4178	2648
306	4191	2634
307	4202	2620
308	4215	2605
309	4228	2591
310	4240	2577
311	4252	2562
312	4265	2548
313	4276	2533
314	4289	2519
315	4301	2504
316	4315	2491
317	4328	2477
318	4341	2463
319	4354	2449
320	4367	2435
321	4380	2421
322	4394	2408
323	4408	2394
324	4422	2381
325	4435	2367
326	4449	2354
327	4462	2340
328	4475	2325
329	4488	2312
330	4502	2298
331	4514	2284
332	4527	2270
333	4541	2256
334	4554	2243
335	4566	2228
336	4582	2216
337	4596	2203
338	4610	2189
339	4623	2175
340	4636	2162
341	4647	2147
342	4660	2133
343	4674	2119
344	4687	2105
345	4700	2092
346	4712	2078
347	4724	2063
348	4737	2049
349	4750	2035
350	4763	2022
351	4775	2007
352	4788	1994
353	4802	1980
354	4815	1966
355	4829	1953
356	4840	1939
357	4853	1925
358	4865	1911
359	4880	1897
360	4893	1884
361	4906	1870
362	4920	1857
363	4932	1843
364	4944	1828
365	4957	1814
366	4971	1801
367	4983	1787
368	4996	1773
369	5008	1759
370	5019	1745
371	5032	1731
372	5045	1717
373	5057	1703
374	5070	1690
375	5082	1676
376	5095	1662
377	5108	1648
378	5121	1635
379	5133	1621
380	5146	1607
381	5159	1593
382	5192	1586
383	5213	1574
384	5233	1563
385	5258	1552
386	5292	1545
387	5318	1535
388	5358	1529
389	5393	1521
390	5411	1508
391	5428	1495
392	5443	1481
393	5456	1468
394	5472	1454
395	5484	1440
396	5496	1426
397	5511	1412
398	5528	1399
399	5547	1386
400	5573	1375
401	5605	1366
402	5634	1356
403	5667	1346
404	5693	1335
405	5722	1324
406	5750	1313
407	5770	1301
408	5791	1288
409	5814	1276
410	5835	1263
411	5850	1249
412	5868	1236
413	5886	1222
414	5909	1210
415	5928	1197
416	5949	1184
417	5969	1171
418	5992	1158
419	6017	1146
420	6040	1133
421	6069	1121
422	6092	1108
423	6112	1095
424	6133	1082
425	6156	1069
426	6184	1057
427	6209	1044
428	6236	1032
429	6266	1020
430	6291	1007
431	6317	994
432	6344	981
433	6368	968
434	6391	955
435	6415	941
436	6440	928
437	6465	915
438	6489	901
439	6512	888
440	6532	874
441	6555	860
442	6582	846
443	6605	833
444	6627	819
445	6649	805
446	6671	791
447	6692	776
448	6711	762
449	6730	747
450	6749	733
451	6768	718
452	6794	704
453	6816	690
454	6833	675
455	6853	661
456	6875	646
457	6896	632
458	6919	618
459	6941	603
460	6958	588
461	6978	573
462	7002	559
463	7023	544
464	7046	530
465	7069	515
466	7084	500
467	7114	486
468	7136	471
469	7158	456
470	7180	442
471	7202	427
472	7224	412
473	7246	397
474	7265	382
475	7287	367
476	7311	352
477	7334	337
478	7360	322
479	7381	307
480	7401	292
481	7419	277
482	7443	261
483	7466	246
484	7490	231
485	7510	216
486	7532	201
487	7556	185
488	7579	170
489	7598	155
490	7623	139
491	7646	124
492	7669	108
493	7690	93
494	7714	77
495	7740	62
496	7763	46
497	7786	31
498	7811	15
499	7834	0
