iter	RMSE
363	0.2259079603
364	0.225848409
365	0.2257516219
366	0.2256749791
367	0.2255786595
368	0.225513857
369	0.2254619864
370	0.225427945
371	0.2253836104
372	0.2253367453
373	0.2252883994
374	0.2252098104
375	0.2251656644
376	0.2250620845
377	0.2250096022
378	0.2249483835
379	0.2248872285
380	0.2248101621
381	0.2246981802
382	0.2246441646
383	0.2245182021
384	0.2244487788
385	0.2243944058
386	0.2242764329
387	0.2241841035
388	0.2241528789
389	0.2239979431
390	0.2239674727
391	0.2238939282
392	0.223824507
393	0.2237844961
394	0.2237367523
395	0.2237137129
396	0.2236899454
397	0.223601302
398	0.2235426271
399	0.2234510318
400	0.223389083
401	0.2232864138
402	0.2232516645
403	0.2231953704
404	0.2230883434
405	0.223010809
406	0.2229585673
407	0.2229176431
408	0.2228357666
409	0.2228064484
410	0.222735475
411	0.2226718332
412	0.2225511308
413	0.2225004211
414	0.2224389004
415	0.2223852469
416	0.222335071
417	0.2223041424
418	0.2222507503
419	0.2221706051
420	0.2221128389
421	0.2220646043
422	0.2220274408
423	0.2219776781
424	0.2219114181
425	0.221862483
426	0.2217527472
427	0.2217206217
428	0.2216465299
429	0.221602343
430	0.221542618
431	0.2214621931
432	0.2214056115
433	0.221343206
434	0.2212645241
435	0.2212208147
436	0.2210880588
437	0.2210342045
438	0.2209153626
439	0.2208375886
440	0.2208133765
441	0.2207357646
442	0.220662045
443	0.2205889984
444	0.2205522739
445	0.220494764
446	0.220387609
447	0.2203687429
448	0.2203157787
449	0.2202601069
450	0.2202173156
451	0.2201812604
452	0.2200937117
453	0.2200439287
454	0.2200041754
455	0.2199707579
456	0.2198658747
457	0.2198192946
458	0.2197581568
459	0.2197062893
460	0.2196851017
461	0.219643818
462	0.2195787252
463	0.2195469578
464	0.2195001451
465	0.2194513682
466	0.2194434076
467	0.2193576641
468	0.2193208991
469	0.2192507536
470	0.2191956198
471	0.21915981
472	0.2191195417
473	0.2190636166
474	0.2190224176
475	0.2189807574
476	0.2189361098
477	0.2188259002
478	0.2187595859
479	0.2187396676
480	0.2186652368
481	0.2186384725
482	0.2185906371
483	0.2185060627
484	0.2184017847
485	0.2183458808
486	0.218288969
487	0.2181876529
488	0.2181418958
489	0.2181224121
490	0.2180582228
491	0.2180113894
492	0.217981769
493	0.2179306927
494	0.2178909708
495	0.2177980018
496	0.217771419
497	0.2177206789
498	0.2176377787
499	0.2176122131
